repeat,fold,split_seed,configuration,architecture,token_count,use_position,n_train,n_heldout,events_heldout,selected_epochs,inner_epochs,inner_cindex_mean,parameters,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
2,1,4250,attention_t32_poson,attention,32,True,171,43,13,5,"[19, 1, 5]",0.7100046346748838,84033,43,13,0.73,41,11,0.6833333333333333,2,2,1.0
2,1,4250,attention_t64_posoff,attention,64,False,171,43,13,6,"[19, 1, 6]",0.7077107257696739,84033,43,13,0.75,41,11,0.7041666666666667,2,2,1.0
2,1,4250,attention_t64_poson,attention,64,True,171,43,13,11,"[18, 1, 11]",0.7150742916579099,84033,43,13,0.7166666666666667,41,11,0.6833333333333333,2,2,0.0
2,1,4250,mamba_t32_posoff,mamba,32,False,171,43,13,12,"[12, 33, 4]",0.7571798026528526,319041,43,13,0.7066666666666667,41,11,0.6791666666666667,2,2,0.0
2,1,4250,mamba_t32_poson,mamba,32,True,171,43,13,13,"[13, 32, 9]",0.7534414200755188,319041,43,13,0.7,41,11,0.675,2,2,0.0
2,1,4250,mamba_t64_posoff,mamba,64,False,171,43,13,8,"[11, 6, 8]",0.7382506352380965,319041,43,13,0.7033333333333334,41,11,0.6583333333333333,2,2,1.0
2,1,4250,mamba_t64_poson,mamba,64,True,171,43,13,6,"[14, 6, 4]",0.7375457378388498,319041,43,13,0.7233333333333334,41,11,0.6916666666666667,2,2,1.0
2,2,4251,attention_t32_posoff,attention,32,False,171,43,13,19,"[19, 23, 4]",0.704417237927108,84033,43,13,0.7520891364902507,40,11,0.7692307692307693,3,2,0.6666666666666666
2,2,4251,attention_t32_poson,attention,32,True,171,43,13,29,"[29, 35, 1]",0.7088816032484786,84033,43,13,0.7298050139275766,40,11,0.7447552447552448,3,2,0.6666666666666666
2,2,4251,attention_t64_posoff,attention,64,False,171,43,13,20,"[20, 20, 3]",0.701605897802335,84033,43,13,0.7576601671309192,40,11,0.7727272727272727,3,2,0.6666666666666666
2,2,4251,attention_t64_poson,attention,64,True,171,43,13,23,"[33, 23, 3]",0.6925332375500887,84033,43,13,0.7604456824512534,40,11,0.7762237762237763,3,2,0.6666666666666666
2,2,4251,mamba_t32_posoff,mamba,32,False,171,43,13,9,"[15, 1, 9]",0.7022338384880514,319041,43,13,0.766016713091922,40,11,0.7902097902097902,3,2,0.6666666666666666
2,2,4251,mamba_t32_poson,mamba,32,True,171,43,13,11,"[14, 1, 11]",0.6842900194368658,319041,43,13,0.7493036211699164,40,11,0.7762237762237763,3,2,0.6666666666666666
2,2,4251,mamba_t64_posoff,mamba,64,False,171,43,13,13,"[13, 1, 13]",0.7002919351017569,319041,43,13,0.7604456824512534,40,11,0.7832167832167832,3,2,0.6666666666666666
2,2,4251,mamba_t64_poson,mamba,64,True,171,43,13,2,"[11, 1, 2]",0.6776506611846044,319041,43,13,0.8022284122562674,40,11,0.8006993006993007,3,2,0.6666666666666666
2,3,4252,attention_t32_posoff,attention,32,False,171,43,13,20,"[20, 2, 27]",0.7086249419014313,84033,43,13,0.6607669616519174,34,10,0.7106598984771574,9,3,0.5294117647058824
2,3,4252,attention_t32_poson,attention,32,True,171,43,13,15,"[25, 3, 15]",0.7248856295497702,84033,43,13,0.7050147492625368,34,10,0.7309644670050761,9,3,0.5882352941176471
2,3,4252,attention_t64_posoff,attention,64,False,171,43,13,17,"[24, 2, 17]",0.7223823856097585,84033,43,13,0.6784660766961652,34,10,0.7309644670050761,9,3,0.5294117647058824
2,3,4252,attention_t64_poson,attention,64,True,171,43,13,15,"[24, 2, 15]",0.7304761458989485,84033,43,13,0.6843657817109144,34,10,0.7360406091370558,9,3,0.5882352941176471
2,3,4252,mamba_t32_posoff,mamba,32,False,171,43,13,1,"[1, 3, 1]",0.6868560050291871,319041,43,13,0.640117994100295,34,10,0.7360406091370558,9,3,0.5294117647058824
2,3,4252,mamba_t32_poson,mamba,32,True,171,43,13,14,"[48, 3, 14]",0.7108464507541511,319041,43,13,0.7050147492625368,34,10,0.7563451776649747,9,3,0.6470588235294118
2,3,4252,mamba_t64_posoff,mamba,64,False,171,43,13,11,"[29, 2, 11]",0.7147012260379374,319041,43,13,0.6784660766961652,34,10,0.7055837563451777,9,3,0.5294117647058824
2,3,4252,mamba_t64_poson,mamba,64,True,171,43,13,11,"[16, 3, 11]",0.7093457993544939,319041,43,13,0.6991150442477876,34,10,0.751269035532995,9,3,0.5294117647058824
2,4,4253,attention_t32_posoff,attention,32,False,172,42,12,10,"[26, 7, 10]",0.7528900317245374,84033,42,12,0.5619469026548672,36,9,0.5695364238410596,6,3,0.16666666666666666
2,4,4253,attention_t32_poson,attention,32,True,172,42,12,11,"[2, 13, 11]",0.7570265909154825,84033,42,12,0.5619469026548672,36,9,0.543046357615894,6,3,0.3333333333333333
2,4,4253,attention_t64_posoff,attention,64,False,172,42,12,10,"[38, 9, 10]",0.7754207676891166,84033,42,12,0.584070796460177,36,9,0.5695364238410596,6,3,0.3333333333333333
2,4,4253,attention_t64_poson,attention,64,True,172,42,12,10,"[2, 10, 11]",0.7586351332700011,84033,42,12,0.5663716814159292,36,9,0.543046357615894,6,3,0.3333333333333333
2,4,4253,mamba_t32_posoff,mamba,32,False,172,42,12,22,"[22, 7, 70]",0.7807067068309959,319041,42,12,0.5929203539823009,36,9,0.5827814569536424,6,3,0.6666666666666666
2,4,4253,mamba_t32_poson,mamba,32,True,172,42,12,27,"[27, 7, 34]",0.7660714947935358,319041,42,12,0.5353982300884956,36,9,0.5827814569536424,6,3,0.3333333333333333
2,4,4253,mamba_t64_posoff,mamba,64,False,172,42,12,29,"[29, 6, 36]",0.7649438407472909,319041,42,12,0.584070796460177,36,9,0.5827814569536424,6,3,0.6666666666666666
2,4,4253,mamba_t64_poson,mamba,64,True,172,42,12,27,"[27, 8, 34]",0.7668825755827126,319041,42,12,0.5530973451327433,36,9,0.5695364238410596,6,3,0.5
